id_treatment,id_picture,date,area_size
84,215,2025-08-12T00:00:00Z,NA
84,216,2025-08-19T00:00:00Z,NA
85,217,2025-08-05T00:00:00Z,0.674
85,218,2025-08-12T00:00:00Z,NA
85,219,2025-08-19T00:00:00Z,NA
86,220,2025-08-05T00:00:00Z,0.773
86,221,2025-08-12T00:00:00Z,NA
86,222,2025-08-19T00:00:00Z,NA
87,223,2025-08-05T00:00:00Z,0.727
87,224,2025-08-12T00:00:00Z,NA
87,225,2025-08-19T00:00:00Z,NA
88,226,2025-08-05T00:00:00Z,0.752
88,227,2025-08-12T00:00:00Z,NA
88,228,2025-08-19T00:00:00Z,NA
89,229,2025-08-05T00:00:00Z,0.616
89,230,2025-08-12T00:00:00Z,NA
89,231,2025-08-19T00:00:00Z,NA
90,232,2025-08-05T00:00:00Z,0.651
90,233,2025-08-12T00:00:00Z,NA
90,234,2025-08-19T00:00:00Z,NA
91,235,2025-08-05T00:00:00Z,0.713
91,236,2025-08-12T00:00:00Z,NA
91,237,2025-08-19T00:00:00Z,NA
92,238,2025-08-05T00:00:00Z,0.661
92,239,2025-08-12T00:00:00Z,NA
92,240,2025-08-19T00:00:00Z,NA
93,241,2025-08-05T00:00:00Z,0.738
93,242,2025-08-12T00:00:00Z,NA
93,243,2025-08-19T00:00:00Z,NA
94,244,2025-08-05T00:00:00Z,0.738
94,245,2025-08-12T00:00:00Z,NA
94,246,2025-08-19T00:00:00Z,NA
95,247,2025-08-05T00:00:00Z,0.742
95,248,2025-08-12T00:00:00Z,NA
95,249,2025-08-19T00:00:00Z,NA
96,250,2025-08-05T00:00:00Z,0.73
96,251,2025-08-12T00:00:00Z,NA
96,252,2025-08-19T00:00:00Z,NA
97,253,2025-08-05T00:00:00Z,0.69
97,254,2025-08-12T00:00:00Z,NA
97,255,2025-08-19T00:00:00Z,NA
