id_treatment,id_inoc,id_faeces,starting_date,weight_0dpi,weight_14dpi,water_content_14dpi,ph_14dpi,id_bact,date.x,sample_weight,dilution_ecoli,ecoli_counted,dilution_enterococcus,enterococcus_counted,...9,id_picture,date.y,area_size,macro_description,contamination,comments,collection_date_1,collection_date_2,total-weight,ph,water_content,sample_weight_1,sample_weight_2,sample_weight_3,dilution_factor_ecoli,dilution_factor_enterococcus,e_coli_counted_1,e_coli_counted_2,e_coli_counted_3,enterococcus_counted_1,enterococcus_counted_2,enterococcus_counted_3,species,material,material_2,mass,production_date,forming_date
20,10,3,2025-07-10T00:00:00Z,21.709999999999997,NA,NA,NA,23,2025-07-23T00:00:00Z,1.14,2000000,48,NA,NA,NA,31,2025-07-10T00:00:00Z,0.691,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
20,10,3,2025-07-10T00:00:00Z,21.709999999999997,NA,NA,NA,23,2025-07-23T00:00:00Z,1.14,2000000,48,NA,NA,NA,32,2025-07-17T00:00:00Z,22.323,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
20,10,3,2025-07-10T00:00:00Z,21.709999999999997,NA,NA,NA,23,2025-07-23T00:00:00Z,1.14,2000000,48,NA,NA,NA,33,2025-07-24T00:00:00Z,43.969,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
21,10,3,2025-07-10T00:00:00Z,21.94,NA,NA,NA,24,2025-07-23T00:00:00Z,0.91,2000000,73,NA,NA,NA,34,2025-07-10T00:00:00Z,0.821,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
21,10,3,2025-07-10T00:00:00Z,21.94,NA,NA,NA,24,2025-07-23T00:00:00Z,0.91,2000000,73,NA,NA,NA,35,2025-07-17T00:00:00Z,24.723,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
21,10,3,2025-07-10T00:00:00Z,21.94,NA,NA,NA,24,2025-07-23T00:00:00Z,0.91,2000000,73,NA,NA,NA,36,2025-07-24T00:00:00Z,43.687,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
22,11,3,2025-07-10T00:00:00Z,21.74,NA,NA,NA,25,2025-07-23T00:00:00Z,1.07,2000000,72,NA,NA,NA,37,2025-07-10T00:00:00Z,0.745,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
22,11,3,2025-07-10T00:00:00Z,21.74,NA,NA,NA,25,2025-07-23T00:00:00Z,1.07,2000000,72,NA,NA,NA,38,2025-07-17T00:00:00Z,29.194,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
22,11,3,2025-07-10T00:00:00Z,21.74,NA,NA,NA,25,2025-07-23T00:00:00Z,1.07,2000000,72,NA,NA,NA,39,2025-07-24T00:00:00Z,59.747,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
23,11,3,2025-07-10T00:00:00Z,21.05,NA,NA,NA,26,2025-07-23T00:00:00Z,0.94,2000000,104,NA,NA,NA,40,2025-07-10T00:00:00Z,0.648,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
23,11,3,2025-07-10T00:00:00Z,21.05,NA,NA,NA,26,2025-07-23T00:00:00Z,0.94,2000000,104,NA,NA,NA,41,2025-07-17T00:00:00Z,33.704,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
23,11,3,2025-07-10T00:00:00Z,21.05,NA,NA,NA,26,2025-07-23T00:00:00Z,0.94,2000000,104,NA,NA,NA,42,2025-07-24T00:00:00Z,60.544,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
24,11,3,2025-07-10T00:00:00Z,21.55,NA,NA,NA,27,2025-07-23T00:00:00Z,1.06,2000000,106,NA,NA,NA,43,2025-07-10T00:00:00Z,0.755,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
24,11,3,2025-07-10T00:00:00Z,21.55,NA,NA,NA,27,2025-07-23T00:00:00Z,1.06,2000000,106,NA,NA,NA,44,2025-07-17T00:00:00Z,30.47,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
24,11,3,2025-07-10T00:00:00Z,21.55,NA,NA,NA,27,2025-07-23T00:00:00Z,1.06,2000000,106,NA,NA,NA,45,2025-07-24T00:00:00Z,59.38,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
25,12,3,2025-07-10T00:00:00Z,20.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,2025-07-10T00:00:00Z,0.787,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Trichoderma koningiopsis,MEA,none,NA,NA,NA
25,12,3,2025-07-10T00:00:00Z,20.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,2025-07-17T00:00:00Z,0.787,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Trichoderma koningiopsis,MEA,none,NA,NA,NA
25,12,3,2025-07-10T00:00:00Z,20.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2025-07-24T00:00:00Z,0.787,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Trichoderma koningiopsis,MEA,none,NA,NA,NA
