id_picture,id_treatment,date,area_size,growth_description,contamination_area,reproductive_structures,comments
202,54,2025-09-02T00:00:00Z,0.67,0,27.8,0,
203,54,2025-09-09T00:00:00Z,0.67,0,46.596,0,
204,55,2025-08-26T00:00:00Z,0.72,0,0,0,
205,55,2025-09-02T00:00:00Z,0.72,0,12.704,0,
206,55,2025-09-09T00:00:00Z,0.72,0,42.408,0,
207,56,2025-08-26T00:00:00Z,0.68,0,0,0,
208,56,2025-09-02T00:00:00Z,0.68,0,10.448,0,
209,56,2025-09-09T00:00:00Z,0.68,0,26.903,0,
210,57,2025-08-26T00:00:00Z,1.137,0,0,0,
211,57,2025-09-02T00:00:00Z,58.629,4,0,1,
212,57,2025-09-09T00:00:00Z,59.672,4,0,1,
213,58,2025-08-26T00:00:00Z,1.137,0,0,0,
214,58,2025-09-02T00:00:00Z,63.62,4,0,1,
215,58,2025-09-09T00:00:00Z,63.62,5,0,1,
216,59,2025-08-26T00:00:00Z,0.703,0,0,0,
217,59,2025-09-02T00:00:00Z,63.62,3,0,1,
218,59,2025-09-09T00:00:00Z,63.62,4,0,1,
219,60,2025-08-26T00:00:00Z,0.675,0,0,0,
220,60,2025-09-02T00:00:00Z,63.62,5,0,1,
221,60,2025-09-09T00:00:00Z,63.62,5,0,1,
222,61,2025-08-26T00:00:00Z,0.788,0,0,0,
223,61,2025-09-02T00:00:00Z,63.62,4,0,1,
224,61,2025-09-09T00:00:00Z,63.62,5,0,1,
225,62,2025-08-26T00:00:00Z,0.692,0,0,0,
226,62,2025-09-02T00:00:00Z,63.62,4,0,1,
227,62,2025-09-09T00:00:00Z,63.62,5,0,1,
228,63,2025-08-26T00:00:00Z,0.686,0,0,0,
229,63,2025-09-02T00:00:00Z,63.62,5,0,1,
230,63,2025-09-09T00:00:00Z,63.62,5,0,1,
231,64,2025-08-26T00:00:00Z,0.765,0,0,0,
232,64,2025-09-02T00:00:00Z,7.005,1,0,0,
233,64,2025-09-09T00:00:00Z,7.005,1,0,0,
234,65,2025-08-26T00:00:00Z,0.73,0,0,0,
235,65,2025-09-02T00:00:00Z,3.177,1,0,0,
236,65,2025-09-09T00:00:00Z,3.177,1,0,0,
237,66,2025-08-26T00:00:00Z,0.733,0,0,0,
238,66,2025-09-02T00:00:00Z,14.214,5,15.678,0,
239,66,2025-09-09T00:00:00Z,24.187,5,15.678,0,
240,67,2025-08-26T00:00:00Z,0.689,0,0,0,
241,67,2025-09-02T00:00:00Z,14.51,5,16.27,0,
242,67,2025-09-09T00:00:00Z,17.108,5,56.614999999999995,0,
243,68,2025-08-26T00:00:00Z,0.699,0,0,0,
244,68,2025-09-02T00:00:00Z,16.347,5,24.374,0,
245,68,2025-09-09T00:00:00Z,28.973,5,60.443,0,
246,69,2025-08-26T00:00:00Z,0.739,0,0,0,
247,69,2025-09-02T00:00:00Z,10.605,5,8.331,0,
248,69,2025-09-09T00:00:00Z,60.733,4,0,0,
249,70,2025-08-26T00:00:00Z,0.701,0,0,0,
250,70,2025-09-02T00:00:00Z,24.116,3,0,1,
251,70,2025-09-09T00:00:00Z,24.116,3,0,1,
252,71,2025-09-02T00:00:00Z,0.714,0,0,0,
253,71,2025-09-09T00:00:00Z,0.714,0,0,0,
254,71,2025-09-16T00:00:00Z,0.714,0,0,0,
255,72,2025-09-02T00:00:00Z,0.746,0,0,0,
256,72,2025-09-09T00:00:00Z,0.746,0,5.513,0,
257,72,2025-09-16T00:00:00Z,0.746,0,26.208,0,
258,73,2025-09-02T00:00:00Z,0.738,0,0,0,
259,73,2025-09-09T00:00:00Z,0.738,0,0,0,
260,73,2025-09-16T00:00:00Z,0.738,0,0,0,
261,74,2025-09-02T00:00:00Z,0.774,0,0,0,
262,74,2025-09-09T00:00:00Z,0.774,0,0,0,
263,74,2025-09-16T00:00:00Z,0.744,0,0,0,
264,75,2025-09-02T00:00:00Z,0.733,0,0,0,
265,75,2025-09-09T00:00:00Z,47.922,4,0,0,
266,75,2025-09-16T00:00:00Z,48.452,2,4.729,0,
267,76,2025-09-02T00:00:00Z,0.776,0,0,0,
268,76,2025-09-09T00:00:00Z,27.834,4,0,1,
269,76,2025-09-16T00:00:00Z,46.31,2,11.934,1,
270,77,2025-09-02T00:00:00Z,0.75,0,0,0,
271,77,2025-09-09T00:00:00Z,39.518,4,0,0,
272,77,2025-09-16T00:00:00Z,55.601,2,10.342,1,
273,78,2025-09-02T00:00:00Z,0.669,0,0,0,
274,78,2025-09-09T00:00:00Z,41.66,4,0,0,
275,78,2025-09-16T00:00:00Z,55.237,2,0,1,
276,79,2025-09-02T00:00:00Z,0.779,0,0,0,
277,79,2025-09-09T00:00:00Z,44.616,4,0,0,
278,79,2025-09-16T00:00:00Z,44.616,2,0,1,
279,80,2025-09-02T00:00:00Z,0.654,0,0,0,
280,80,2025-09-09T00:00:00Z,38.039,4,0,0,
281,80,2025-09-16T00:00:00Z,44.223,2,0,0,
282,81,2025-09-02T00:00:00Z,0.911,0,0,0,
283,81,2025-09-09T00:00:00Z,37.857,4,0,0,
284,81,2025-09-16T00:00:00Z,50.131,2,0,0,
285,82,2025-09-02T00:00:00Z,0.706,0,0,0,
286,82,2025-09-09T00:00:00Z,50.365,4,0,0,
287,82,2025-09-16T00:00:00Z,52.655,2,7.054,0,
288,83,2025-09-02T00:00:00Z,0.839,0,0,0,
289,83,2025-09-09T00:00:00Z,0.839,0,0,0,
290,83,2025-09-16T00:00:00Z,0.839,0,0,0,
291,84,2025-09-02T00:00:00Z,0.708,0,0,0,
292,84,2025-09-09T00:00:00Z,0.708,0,0,0,
293,84,2025-09-16T00:00:00Z,0.708,0,0,0,
294,85,2025-09-11T00:00:00Z,0.785,0,0,0,
